"","Roubo e Furto","Colisão Parcial","Colisão Perda Total","Incêndio","Assistência 24H","Compreensivo"
"032298-8",0,0,0,0,0,0
"032328-8",0,0,0,0,0,0
"032352-2",0,0,0,0,0,0
"032441-1",0,0,0,0,0,0
"032468-8",0,0,0,0,0,0
"032530-0",0,0,0,0,0,0
"032549-9",0,0,0,0,0,0
"032557-7",0,0,0,0,0,0
"032590-0",0,97.42,194.91,0,0,292.33
"032603-3",0,0,1013.96,0,0,1013.96
"032611-1",0,0,0,0,0,0
"032620-0",0,262.6,1084.79,0,0,1347.39
"032638-8",0,0,0,0,0,0
"032646-6",0,0,0,0,0,0
"032654-4",0,0,0,0,0,0
"032662-2",0,0,0,0,0,0
"032670-0",0,0,0,0,0,0
"032689-9",0,0,0,0,0,0
"032697-7",0,50.1,0,0,0,50.1
"032700-0",154.72,191.47,0,0,0,346.19
"032719-9",0,6.87,0,0,0,6.87
"032743-3",0,0,0,0,0,0
"032751-1",0,0,0,0,0,0
"032760-0",0,0,0,0,0,0
"032808-8",0,0,0,0,0,0
"032816-6",109.72,431.37,508.01,0,0,1049.1
"032824-4",0,567.21,1035.27,0,0,1602.48
"032832-2",0,303.87,354.23,0,0,658.1
"032840-0",0,165.49,0,0,0,165.49
"032859-9",0,541.91,0,0,0,541.91
"032867-7",206.38,297.16,473.74,0,0,977.28
"032875-5",0,0,0,0,0,0
"032883-3",0,0,0,0,0,0
"032891-1",80.99,286.34,1014.96,0,0,1382.29
"032913-3",0,0,0,0,0,0
"032921-1",0,0,0,0,0,0
"032930-0",0,0,0,0,0,0
"032948-8",0,0,0,0,0,0
"032956-6",2593.79,0,0,0,0,2593.79
"032964-4",0,1327.15,2250.68,0,0,3577.83
"032972-2",0,0,0,0,0,0
"032999-9",0,0,0,0,0,0
"033001-9",0,261.31,493.63,0,93.54,848.48
"033002-7",0,0,0,0,72.47,72.47
"033003-5",0,0,0,0,8.07,8.07
"033004-3",0,39.2,100.23,0,145.65,285.08
"033005-1",247.24,149.07,291.76,413.42,108.43,1209.92
"033006-0",0,51.19,103.61,0,62.41,217.21
"033006-6",0,0,0,0,0,0
"033007-8",0,0,0,0,177.76,177.76
"033008-6",0,0,0,0,67.36,67.36
"033009-4",0,0,0,0,42.74,42.74
"033010-8",0,0,0,0,0,0
"033011-6",0,0,0,0,535.47,535.47
"033012-4",0,116.33,0,0,77.21,193.54
"033013-2",0,54.66,496.24,0,138.71,689.61
"033014-0",0,2509.02,0,0,0,2509.02
"033014-4",0,0,0,0,0,0
"033015-9",0,0,0,0,54.47,54.47
"033016-7",0,0,0,0,0,0
"033017-5",0,0,0,0,0,0
"033018-3",0,0,0,0,0,0
"033019-1",0,0,0,0,0,0
"033020-5",0,0,0,0,0,0
"033021-3",0,0,0,0,72.89,72.89
"033022-1",0,0,3220.68,0,350.42,3571.1
"033023-0",0,0,0,570.96,108.52,679.48
"033024-8",2198.83,0,1414.72,0,80.66,3694.21
"033025-6",625.9,0,217.26,0,87.64,930.8
"033026-4",0,0,0,0,16.52,16.52
"033027-2",0,382.17,449.18,0,109.38,940.73
"033028-0",1000.03,105.04,1621.43,298.01,196.85,3221.36
"033029-9",972.52,153.8,684.41,0,153.86,1964.59
"033030-0",0,0,0,0,0,0
"033030-2",0,0,0,97.58,28.88,126.46
"033031-0",2326.52,61.13,0,0,48.82,2436.47
"033032-9",2393.99,431.98,1207.42,0,55.3,4088.69
"033033-7",0,0,4480.73,0,0,4480.73
"033034-5",1755.84,12.92,799.76,0,156.75,2725.27
"033035-3",0,0,0,0,80.27,80.27
"033036-1",0,430.94,0,0,344.88,775.82
"033037-0",618.09,163.17,655.42,0,154.34,1591.02
"033038-8",1309.2,175.64,2896.83,0,157.49,4539.16
"033039-6",0,0,0,0,128.75,128.75
"033040-0",420.95,488.2,1292.11,62.07,641.02,2904.35
"033041-8",446.68,370.03,973.28,74.24,208.26,2072.49
"033042-6",676.33,184.92,1243.97,0,430.8,2536.02
"033043-4",2645.95,0,6669.66,0,89.5,9405.11
"033044-2",2870.19,0,5729.71,60.84,198.68,8859.42
"033045-0",2457.97,265.02,1554.88,0,306.15,4584.02
"033046-9",1944.8,0,0,0,87.55,2032.35
"033047-7",0,103.62,0,0,85.08,188.7
"033048-5",0,175.25,1124.52,0,110.33,1410.1
"033049-3",0,0,0,0,8.02,8.02
"033049-9",320.92,156.3,988.77,0,0,1465.99
"033050-7",0,0,0,0,59.53,59.53
"033051-5",0,0,0,0,0,0
"033052-3",0,0,0,0,63.2,63.2
"033053-1",3558.87,113.12,4328.01,1471.84,248.03,9719.87
"033054-0",1007.61,977.03,983.48,0,67.21,3035.33
"033055-8",1109.09,1149.58,1470.32,144.8,335.17,4208.96
"033056-6",1410.48,754,2462.55,368.78,405.52,5401.33
"033057-4",0,6113.26,0,0,0,6113.26
"033058-2",2771.14,1236.54,3748.18,411.02,577.49,8744.37
"033059-0",3039.9,1125.4,2415.58,341.97,594.52,7517.37
"033060-4",0,918.91,0,0,337.06,1255.97
"033061-2",2270.59,8.35,15804.66,0,61.59,18145.19
"033062-0",1054.21,1382.16,1992.64,0,655.69,5084.7
"033063-9",1146.86,0,3215.28,0,69.33,4431.47
"033064-7",2251.27,1158.26,4095.81,0,424.23,7929.57
"033065-5",0,321.15,3092.02,0,86.49,3499.66
"033066-3",0,0,0,0,7.09,7.09
"033067-1",0,0,0,0,0,0
"033068-0",733.77,487.79,137.96,268.06,236.15,1863.73
"033069-8",445.12,1030.48,1163.45,270.32,552.98,3462.35
"033070-1",872.66,370.34,1601.4,199.11,325.92,3369.43
"033071-0",0,34.76,0,0,45.77,80.53
"033072-8",611.46,1429.44,2105.27,603.11,67.15,4816.43
"033073-3",0,0,0,0,0,0
"033073-6",1040.43,630.49,1623.18,0,503.82,3797.92
"033074-4",2057.24,1587.84,2553.54,137.76,412.9,6749.28
"033075-2",1834.05,499.7,1532.29,0,191.88,4057.92
"033076-0",3157.35,2086.83,6115.71,324.5,491.22,12175.61
"033077-9",2895.97,2464.54,5004.59,101.06,718.61,11184.77
"033078-7",5477.07,874.92,1790,0,182.12,8324.11
"033079-5",2516.23,1056.55,3922.41,0,384.36,7879.55
"033080-9",2500.16,926.15,2021.37,0,444.39,5892.07
"033081-7",896.31,174.05,2454.27,0,77.39,3602.02
"033082-5",2412.31,2756.4,2816.57,126.76,683.56,8795.6
"033083-3",0,520.57,0,0,509.95,1030.52
"033084-1",0,0,0,0,0,0
"033085-0",0,687.46,8301.49,0,591.15,9580.1
"033086-8",0,0,0,0,27147.95,27147.95
"033087-6",0,168.48,0,0,96.61,265.09
"033088-4",0,741.15,3238.4,0,156.83,4136.38
"033089-2",0,378.69,0,0,143.77,522.46
"033090-0",0,2147.17,0,0,0,2147.17
"033090-6",0,1858.76,0,0,388.09,2246.85
"033091-4",4266.37,15.53,0,0,493.38,4775.28
"033092-2",0,383.69,0,0,6.43,390.12
"033093-0",0,1453.52,0,0,248.41,1701.93
"033094-9",2076.16,296.57,0,0,1154.6,3527.33
"033095-7",6349.01,625.41,5555.69,0,0,12530.11
"033096-5",0,1066.9,2461.3,0,564.84,4093.04
"033097-3",0,0,0,0,1110.62,1110.62
"033098-1",1491.43,1870.39,1634.59,0,195.7,5192.11
"033099-0",2147.03,2405.18,2257.14,355.22,1278.6,8443.17
"033100-7",0,0,0,0,1615.07,1615.07
"033101-5",0,24222.19,34145.74,0,12.11,58380.04
"033102-3",0,0,0,0,190.01,190.01
"033103-1",268.76,2001.44,1173.53,338.69,640.65,4423.07
"033103-3",43.04,148.13,555.75,0,0,746.92
"033104-0",1320.74,2780.35,1502.25,0,782.72,6386.06
"033105-8",2152.16,979.85,0,0,1269.2,4401.21
"033106-6",0,0,0,0,48.79,48.79
"033107-4",0,10.23,12461.77,0,1658.36,14130.36
"033108-2",0,8204.81,9074.43,0,65.9,17345.14
"033109-0",0,0,0,0,785.64,785.64
"033110-4",0,1776.19,0,0,428.07,2204.26
"033111-1",0,0,324.32,0,0,324.32
"033111-2",0,0,0,0,227.01,227.01
"033112-0",0,995.53,997.26,0,120.7,2113.49
"033113-9",817.14,1574.8,1098.03,0,511.43,4001.4
"033114-7",4407.69,423.99,0,0,747.54,5579.22
"033115-5",597.93,2275.52,2107.8,0,663.8,5645.05
"033116-3",110.94,1236.73,93.75,350.05,541.73,2333.2
"033117-1",963.63,2327.3,1404.75,0,259.89,4955.57
"033118-0",1731.44,1551.16,1106.29,0,463.45,4852.34
"033119-8",2042.96,1805.31,0,0,224.78,4073.05
"033120-1",0,0,0,0,2276.58,2276.58
"033121-0",0,670.75,0,0,5.7,676.45
"033122-8",0,0,0,0,123.95,123.95
"033123-6",0,0,0,0,0,0
"033124-4",0,746.02,0,0,1.71,747.73
"033125-2",0,2396.56,0,0,1101.42,3497.98
"033126-0",234.28,1934.13,2685.13,0,658.31,5511.85
"033127-9",549.49,2061.1,2177.9,0,340.77,5129.26
"033128-7",0,894.15,0,0,184.42,1078.57
"033129-5",0,1301.86,3252.58,0,96.67,4651.11
"033130-9",0,15.12,0,0,4547.67,4562.79
"033131-7",211.25,2062.63,0,0,1257.54,3531.42
"033132-5",0,1339.17,2228,0,412.54,3979.71
"033133-3",0,413.16,0,0,266.08,679.24
"033134-1",0,1225.12,0,0,307.22,1532.34
"033135-0",0,0,0,0,0,0
"033136-8",0,0,0,0,147.79,147.79
"033137-6",0,1868.93,0,0,188.11,2057.04
"033138-4",0,0,0,0,84.41,84.41
"033139-2",0,0,0,0,0,0
"033140-6",0,0,0,0,0,0
"033141-4",0,364.52,0,0,40.73,405.25
"033142-2",0,655.18,4017.52,0,131.63,4804.33
"033143-0",0,25.55,14312.46,0,141.74,14479.75
"033144-9",0,0,0,0,0,0
"033145-7",0,224.42,0,0,0,224.42
"033146-5",0,282.5,0,0,623.96,906.46
"033147-3",16795.27,287.09,0,0,6.81,17089.17
"033148-1",0,0,0,0,0,0
"033149-0",0,2987.52,0,0,51.99,3039.51
"033150-3",0,1193.14,0,0,5706.57,6899.71
"033151-1",0,1840.04,0,0,1107.05,2947.09
"033152-0",0,0,0,0,593.64,593.64
"033153-8",0,2872.93,5627.98,0,43.89,8544.8
"033154-6",0,1029.77,0,0,1984.49,3014.26
"033155-4",0,0,0,0,0,0
"033157-0",0,0,0,0,0,0
"033158-9",0,0,0,0,59.28,59.28
"033159-7",0,0,0,0,0,0
"033160-0",0,0,0,0,24.17,24.17
"033161-9",0,355.81,0,0,535.67,891.48
"033162-2",0,0,0,0,0,0
"033162-7",0,2347.61,0,0,484.12,2831.73
"033163-5",0,94.76,0,0,639.15,733.91
"033164-3",0,0,0,0,0,0
"033165-1",0,0,0,0,437.88,437.88
"033166-0",0,0,0,0,19.03,19.03
"033167-8",20.5,1022.23,0,0,1.93,1044.66
"033168-6",0,0,0,0,0,0
"033169-4",0,0,0,0,0,0
"033189-9",270.29,239.12,489.24,0,0,998.65
"033197-7",0,0,0,0,0,0
"033200-0",0,0,1277.68,0,0,1277.68
"033219-9",0,0,0,0,0,0
"033227-7",0,0,0,0,0,0
"033235-5",0,0,0,0,0,0
"033243-3",0,0,0,0,0,0
"033251-1",129.63,306.56,478.83,34.49,0,949.51
"033260-0",0,0,0,0,0,0
"033278-8",0,0,0,0,0,0
"033286-6",0,0,0,0,0,0
"033294-4",0,0,0,0,0,0
"033308-8",0,0,0,0,0,0
"033316-6",0,0,0,0,0,0
"033324-4",0,0,0,0,0,0
"033332-2",0,0,0,0,0,0
"033359-9",346.59,337.74,371.06,0,0,1055.39
"033367-7",0,679.21,0,0,0,679.21
"033375-5",0,0,0,0,0,0
"033391-1",0,0,0,0,0,0
"033405-5",284.4,480.19,266.13,0,0,1030.72
"033448-8",0,598.95,1491.06,0,0,2090.01
"033456-6",0,0,0,0,0,0
"033464-4",0,0,5256.62,0,0,5256.62
"033472-2",33.02,580.37,415.94,0,0,1029.33
"033480-0",0,528.05,0,0,0,528.05
"033499-9",0,0,0,0,0,0
"033502-2",0,0,0,0,0,0
"033510-0",0,648.5,939.75,0,0,1588.25
"033529-9",0,305.3,0,0,0,305.3
"033537-7",0,0,0,0,0,0
"033545-5",0,0,0,0,0,0
"033561-1",0,0,0,0,0,0
"033570-0",0,198.66,2640.31,0,0,2838.97
"033588-8",0,217.2,1562.22,0,0,1779.42
"033596-6",0,0,0,0,0,0
"033600-0",0,0,0,0,0,0
"033618-8",0,0,0,0,0,0
"033626-6",0,0,0,0,0,0
"033634-4",0,271.38,0,0,0,271.38
"033642-2",0,809.51,0,0,0,809.51
"033650-0",0,108.92,0,0,0,108.92
"033669-9",0,151.06,0,0,0,151.06
"033677-7",32.77,323.44,633.32,0,0,989.53
"033685-5",0,72.64,1414.46,0,0,1487.1
"033693-3",0,174.58,0,0,0,174.58
"033707-7",0,0,0,0,0,0
"033715-5",0,0,0,0,0,0
"033723-3",0,0,0,0,0,0
"033731-1",0,14.94,0,0,0,14.94
"033740-0",12.19,323.12,443.94,0,0,779.25
"033758-8",12150.94,0,0,0,0,12150.94
"033766-6",0,650.11,1436.68,0,0,2086.79
"033774-4",0,0,0,0,0,0
"033782-2",0,0,0,0,0,0
"033804-4",458.07,397.3,0,0,0,855.37
"033812-2",0,295.51,0,0,0,295.51
"033820-0",422.05,181.89,1682.06,0,0,2286
"033839-9",0,0,0,0,0,0
"033847-7",0,3545.05,0,0,0,3545.05
"033855-5",0,126.77,482.32,0,0,609.09
"033863-3",38.59,845.85,729.27,0,0,1613.71
"033871-1",0,480.54,859.87,0,0,1340.41
"033880-0",0,198.41,0,0,0,198.41
"033898-8",1775.19,582.72,0,0,0,2357.91
"033901-1",0,762.66,91.38,0,0,854.04
"033910-0",0,169.57,0,0,0,169.57
"033936-6",0,0,0,0,0,0
"033979-9",0,120.61,0,0,0,120.61
"033987-7",0,0,0,0,0,0
"033995-5",0,0,0,0,0,0
"034001-4",0,0,0,0,0,0
"034002-2",0,979.09,0,0,0,979.09
"034010-0",0,339.72,0,0,0,339.72
"034012-0",0,0,0,0,0,0
"034013-8",0,0,0,0,0,0
"034014-6",0,0,0,0,123.81,123.81
"034015-4",0,0,0,0,0,0
"034018-9",0,0,0,0,51.78,51.78
"034019-7",0,0,0,0,0,0
"034020-0",0,0,0,0,82.68,82.68
"034021-9",0,8801.25,25468.87,0,0,34270.12
"034022-7",0,0,0,0,181.11,181.11
"034023-5",0,0,0,0,18.21,18.21
"034024-3",0,0,0,0,0,0
"034025-1",0,0,0,0,0,0
"034026-0",0,10045.94,0,0,1813.02,11858.96
"034027-8",0,3559.49,0,0,0,3559.49
"034028-6",0,0,0,0,147.29,147.29
"034029-4",0,0,34312.56,0,878.37,35190.93
"034029-9",0,1546.67,0,0,0,1546.67
"034030-8",0,11812.68,0,0,23.11,11835.79
"034045-5",141.49,545.1,0,0,0,686.59
"034053-3",0,0,292.96,0,0,292.96
"034061-1",0,0,0,0,0,0
"034070-0",0,25.02,0,0,0,25.02
"034088-8",43.39,475.17,539.34,0,0,1057.9
"034096-6",11.01,286.33,0,0,0,297.34
"034100-0",0,283.15,0,0,0,283.15
"034118-8",0,106.67,720.35,0,0,827.02
"034126-6",13.53,164.43,0,0,0,177.96
"034134-4",0,201.34,0,0,0,201.34
"034142-2",0,92.47,550.54,0,0,643.01
"034150-0",0,66.22,628.05,0,0,694.27
"034169-9",0,0,0,0,0,0
"034177-7",0,709.71,0,0,0,709.71
"034185-5",0,1170.04,0,0,0,1170.04
"034193-3",0,172.16,1310.4,0,0,1482.56
"034207-7",0,224.93,0,0,0,224.93
"034215-5",2095.69,403,0,0,0,2498.69
"034223-3",0,1221.63,0,0,0,1221.63
"034231-1",0,300.96,2176.02,0,0,2476.98
"034240-0",0,0,0,0,0,0
"034258-8",0,0,0,0,0,0
"034266-6",0,1055.52,0,0,0,1055.52
"034274-4",0,0,0,0,0,0
"034282-2",0,0,351.73,0,0,351.73
"034290-0",0,602.63,0,0,0,602.63
"034304-4",0,740.88,0,0,0,740.88
"034312-2",0,305.93,0,0,0,305.93
"034339-9",0,0,0,0,0,0
"034347-7",0,275.76,0,0,0,275.76
"034355-5",0,149.26,0,0,0,149.26
"034363-3",0,0,0,0,0,0
"034371-1",0,0,0,0,0,0
"034380-0",0,413.38,0,0,20.32,433.7
"034398-8",0,637.61,0,0,0,637.61
"034401-1",0,28.92,0,0,0,28.92
"034410-0",0,0,0,0,0,0
"034428-8",0,0,0,0,0,0
"034436-6",0,0,0,0,0,0
"034444-4",0,0,0,0,0,0
"034452-2",0,0,0,0,0,0
"034460-0",0,618.15,0,0,0,618.15
"034479-9",0,0,0,0,0,0
"034487-7",0,0,0,0,0,0
"034495-5",0,0,0,0,0,0
"034509-9",0,0,0,0,0,0
"034517-7",0,0,0,0,0,0
"034525-5",0,0,0,0,0,0
"034541-1",0,0,0,0,0,0
"034550-0",0,0,0,0,0,0
"034568-8",0,0,0,0,0,0
"034576-6",0,0,0,0,0,0
"034584-4",0,0,0,0,0,0
"034592-2",0,614.38,0,0,0,614.38
"034606-6",0,238.89,0,0,0,238.89
"034614-4",0,0,0,0,0,0
"034622-2",0,0,0,0,0,0
"034630-0",0,523.89,0,0,0,523.89
"034649-9",0,0,0,0,0,0
"034657-7",0,94.49,0,0,0,94.49
"034665-5",0,0,0,0,0,0
"034673-3",0,0,0,0,0,0
"034681-1",0,0,0,0,0,0
"035001-0",0,0,0,0,12.85,12.85
"035003-6",0,0,0,0,0,0
"035004-4",0,0,0,0,0,0
"035006-0",0,0,0,0,0,0
"035007-9",0,0,0,0,0,0
"035008-7",0,0,0,0,0,0
"035009-5",0,117.27,0,0,22.59,139.86
"035010-9",0,0,0,0,14.57,14.57
"035011-7",0,83.55,0,0,58.78,142.33
"035012-5",0,0,0,0,0,0
"035013-3",0,0,0,0,0,0
"035014-1",0,361.31,0,0,124.89,486.2
"035015-0",0,820.02,0,0,213.41,1033.43
"035018-4",0,0,0,0,43.31,43.31
"035019-2",0,0,0,0,1500.1,1500.1
"035020-6",0,0,0,0,0,0
"035021-4",0,0,0,0,0,0
"035022-2",0,0,0,0,0,0
"035023-0",0,5.07,0,0,653.4,658.47
"035024-9",1576.8,1248.7,4600.24,0,536.36,7962.1
"035025-7",0,1862.48,2829.32,0,339.37,5031.17
"035026-5",0,0,0,0,0,0
"035027-3",1033.98,974.05,1505.51,0,280.38,3793.92
"035028-1",0,0,0,0,620.43,620.43
"035029-0",0,0,0,0,866.4,866.4
"035030-3",0,0,0,0,439.33,439.33
"035031-1",0,0,0,0,0,0
"035032-0",0,4311.72,0,0,50.2,4361.92
"035033-8",0,17.91,0,0,494.98,512.89
"035034-6",0,13.12,3155.49,0,13.29,3181.9
"035035-4",0,0,0,0,21.14,21.14
"035036-2",0,0,0,0,940.44,940.44
"035037-0",0,538.82,2303.18,0,60.84,2902.84
"035038-9",540.81,347.27,3802.48,831.78,120.17,5642.51
"035039-7",0,880.7,0,0,88.63,969.33
"035040-0",3243.57,0,8806.44,0,558.48,12608.49
"035041-9",0,0,15557.22,0,1053.61,16610.83
"035042-7",0,4198.39,0,0,71.38,4269.77
"035043-5",2431.26,1192.9,5165.23,0,925.28,9714.67
"035044-3",0,0,0,0,0,0
"035045-1",0,0,0,0,0,0
"035046-0",0,0,0,0,113.2,113.2
"035047-8",0,0,0,0,397.47,397.47
"035048-6",0,0,0,0,0,0
"035049-4",0,282.16,0,0,405.69,687.85
"035050-8",0,0,0,0,109.48,109.48
"035051-6",0,600.07,5540.42,0,103.46,6243.95
"035052-4",0,1876.32,5975.13,0,624.25,8475.7
"035053-2",0,0,0,0,27.07,27.07
"035054-0",0,0,0,0,461.84,461.84
"035055-9",10.24,1730.65,4291.74,0,474.34,6506.97
"035056-7",2620.83,2134.23,5494.73,0,245.39,10495.18
"035057-5",0,0,0,0,473.63,473.63
"035058-3",0,0,0,0,1406.17,1406.17
"035059-1",0,0,0,0,0,0
"035060-5",0,2494.11,2599.09,0,446.4,5539.6
"035061-3",0,0,0,0,15.47,15.47
"035062-1",0,158.13,0,0,798.55,956.68
"035063-0",968.35,1163.08,0,0,592.31,2723.74
"035064-8",0,0,0,0,0.18,0.18
"035065-6",0,0,0,0,4512.11,4512.11
"035066-4",0,0,0,0,0,0
"035067-2",0,0,0,0,0,0
"035068-0",0,0,0,0,0,0
"035069-9",0,203.33,6247.88,0,114.28,6565.49
"035070-2",0,0,0,0,128.44,128.44
"035071-0",0,0,0,0,0,0
"035072-9",0,0,0,0,20.11,20.11
"035073-7",0,0,0,0,0,0
"035074-5",0,0,0,0,771.85,771.85
"035075-3",0,0,0,0,0,0
"035076-1",0,29.3,0,0,28.98,58.28
"035077-0",0,0,0,0,348.37,348.37
"035078-8",0,0,0,0,53.36,53.36
"035080-0",0,0,0,0,0,0
"035081-8",0,0,0,0,5.59,5.59
"035082-6",0,0,0,0,3206.41,3206.41
"035083-4",0,3157.03,0,0,287.23,3444.26
"035084-2",0,0,0,0,141.79,141.79
"035085-0",0,1227.94,0,0,123.7,1351.64
"035086-9",0,5468.7,0,0,24.08,5492.78
"035087-7",0,0,0,0,155.33,155.33
"035088-5",0,0,0,0,1313.47,1313.47
"035090-7",0,0,0,0,108.27,108.27
"035091-5",0,0,14890.35,0,457,15347.35
"035092-3",0,0,0,0,0,0
"035093-1",0,0,0,0,43.31,43.31
"035094-0",0,0,0,0,0,0
"035095-8",0,14634.27,0,0,38.06,14672.33
"035096-6",0,20.62,0,0,91.88,112.5
"035097-4",0,427.04,0,0,381.95,808.99
"035098-2",0,601.16,0,0,340.45,941.61
"035099-0",0,0,196617.58,0,0,196617.58
"035100-8",0,0,0,0,0,0
"035101-6",0,0,7455.27,0,492.81,7948.08
"035102-4",0,0,0,0,23.62,23.62
"035103-2",0,0,0,0,310.32,310.32
"035105-9",0,0,0,0,71.83,71.83
"035106-7",0,7128.5,0,0,1413.76,8542.26
"035108-3",0,0,0,0,0,0
"035110-5",0,0,0,0,0,0
"035112-1",0,0,0,0,0,0
"035114-8",0,0,0,0,0,0
"035115-6",0,0,0,0,0,0
"035116-4",0,1748.33,0,0,617.04,2365.37
"035117-2",0,2928.95,0,0,320.24,3249.19
"035118-0",2812.09,0,0,0,661.98,3474.07
"035119-9",0,0,0,0,2424.62,2424.62
"03531307",0,0,0,0,156.45,156.45
"038001-6",0,0,0,0,0,0
"038002-4",0,0,0,0,72.18,72.18
"038003-2",0,0,0,0,0,0
"03804639",0,0,0,0,0,0
"039001-1",0,0,0,0,53.43,53.43
"039002-0",1126.84,0,0,0,6.93,1133.77
"040001-7",0,0,0,0,0,0
"040002-5",0,0,0,0,3.77,3.77
"040010-0",0,103.19,0,0,0,103.19
"040029-9",0,0,0,0,0,0
"040037-7",0,2200.93,0,0,0,2200.93
"040045-5",0,0,0,0,0,0
"040053-3",0,0,0,0,0,0
"040061-1",0,0,0,0,0,0
"040070-0",0,0,2199.95,0,0,2199.95
"040088-8",0,0,0,0,0,0
"040096-6",0,0,0,0,0,0
"040100-0",0,0,0,0,0,0
"040126-6",0,0,0,0,0,0
"040134-4",0,0,0,0,0,0
"040150-0",0,0,0,0,0,0
"040169-9",0,0,0,0,0,0
"040185-5",0,0,0,0,0,0
"040193-3",0,0,0,0,0,0
"040207-7",0,0,0,0,0,0
"040223-3",0,0,0,0,0,0
"040304-4",0,0,0,0,0,0
"040320-0",0,0,0,0,0,0
"040321-6",0,0,0,0,0,0
"040321-8",0,0,0,0,0,0
"040347-7",0,0,0,0,0,0
"040371-1",0,0,0,0,0,0
"040410-0",0,0,0,0,0,0
"040428-8",0,0,0,0,0,0
"040436-6",0,0,0,0,0,0
"040442-8",0,0,0,0,0,0
"040510-2",0,0,0,0,0,0
"040584-4",0,0,0,0,0,0
"040657-7",0,0,0,0,0,0
"040665-5",0,263.3,0,0,0,263.3
"040673-3",0,0,0,0,0,0
"040736-6",0,0,0,0,0,0
"040779-9",0,0,0,0,0,0
"040800-0",0,0,0,0,0,0
"040819-9",0,0,0,0,0,0
"040827-7",0,0,0,0,0,0
"040843-3",2136.95,0,0,0,0,2136.95
"040851-1",0,0,0,0,0,0
"040860-0",0,0,0,0,0,0
"040868-8",0,0,0,0,0,0
"040894-4",0,0,0,0,0,0
"040908-8",0,0,0,0,0,0
"040916-6",0,0,0,0,0,0
"040924-4",0,0,0,0,0,0
"040967-7",0,0,0,0,0,0
"041001-2",0,0,0,0,0,0
"041002-0",0,0,0,0,0,0
"041066-6",0,5992.13,0,0,0,5992.13
"041092-2",0,0,0,0,0,0
"041122-2",0,0,0,0,0,0
"041203-3",0,0,0,0,0,0
"041210-0",0,0,0,0,0,0
"041211-1",0,21.51,0,0,0,21.51
"041220-0",0,0,0,0,0,0
"041260-0",0,0,0,0,0,0
"041341-1",0,0,0,0,0,0
"041459-9",0,0,0,0,0,0
"041467-7",0,0,0,0,0,0
"041511-1",0,0,0,0,0,0
"041520-0",0,0,0,0,0,0
"041554-4",0,0,0,0,0,0
"041688-8",0,0,0,0,0,0
"041718-8",0,0,0,0,0,0
"041734-4",0,0,0,0,0,0
"041742-2",0,0,0,0,0,0
"041750-0",0,0,0,0,0,0
"041769-9",0,0,0,0,0,0
"041777-7",17333.03,0,0,0,0,17333.03
"041785-5",0,0,0,0,0,0
"041793-3",0,0,0,0,0,0
"041807-7",0,0,0,0,0,0
"041815-5",0,0,0,0,0,0
"041823-3",0,0,0,0,0,0
"041866-6",0,0,0,0,0,0
"041874-4",0,0,0,0,0,0
"041939-9",4131.18,0,0,0,0,4131.18
"041955-5",0,0,0,0,0,0
"041980-0",0,0,0,0,0,0
"042001-8",0,0,0,0,126.98,126.98
"042021-1",0,30.89,0,0,0,30.89
"042048-8",0,0,0,0,0,0
"042056-6",0,0,0,0,0,0
"042064-4",0,0,0,0,0,0
"042072-2",0,0,0,0,0,0
"042080-0",0,0,0,0,0,0
"042102-2",0,0,0,0,0,0
"042110-0",0,0,0,0,0,0
"042129-9",0,0,0,0,0,0
"042153-3",0,0,0,0,0,0
"042170-0",0,67.51,0,0,0,67.51
"042188-8",0,0,0,0,0,0
"042196-6",0,0,0,0,0,0
"042200-0",0,0,0,0,0,0
"042218-8",0,0,0,0,0,0
"042226-6",0,0,0,0,0,0
"042269-9",0,0,0,0,0,0
"042277-7",0,0,385.48,0,0,385.48
"042285-5",0,0,0,0,0,0
"042307-7",6560.8,0,0,0,0,6560.8
"042315-5",0,0,0,0,0,0
"042323-3",0,0,0,0,0,0
"042331-1",0,0,0,0,0,0
"042340-0",0,0,0,0,0,0
"042358-8",0,0,0,0,0,0
"042366-6",0,1293.75,2502.13,0,0,3795.88
"042390-0",0,273.68,0,0,0,273.68
"042404-4",0,115.46,2132.72,0,0,2248.18
"042412-2",0,0,0,0,0,0
"042420-0",0,0,0,0,0,0
"042439-9",0,0,0,0,0,0
"042447-7",0,0,0,0,0,0
"042455-5",0,0,0,0,0,0
"042463-3",0,0,0,0,0,0
"042471-1",0,0,0,0,0,0
"042480-0",0,0,0,0,0,0
"042498-8",0,0,1225.52,0,0,1225.52
"042544-4",0,0,0,0,0,0
"042552-2",0,0,0,0,0,0
"042560-0",0,0,0,0,0,0
"042579-9",0,0,0,0,0,0
"042587-7",0,0,0,0,0,0
"042595-5",0,180.07,0,0,0,180.07
"042609-9",0,0,0,0,0,0
"042617-7",0,0,0,0,0,0
"042625-5",0,0,0,0,0,0
"042633-3",0,0,0,0,0,0
"042641-1",0,0,0,0,0,0
"042650-0",0,0,0,0,0,0
"042668-8",0,0,0,0,0,0
"042676-6",3272.11,0,0,0,0,3272.11
"042684-4",0,0,0,0,0,0
"042692-2",0,0,0,0,0,0
"042706-6",0,0,0,0,0,0
"042714-4",4045.26,0,0,0,0,4045.26
"042722-2",0,153.95,497.4,0,0,651.35
"042730-0",0,54.99,403.3,0,0,458.29
