"","Roubo e Furto","Colisão Parcial","Colisão Perda Total","Incêndio","Assistência 24H","Compreensivo"
"003023-6",0,0,0,0,22.44,22.44
"003024-4",0,0,0,0,38.84,38.84
"003025-2",0,103.06,0,0,31.08,134.14
"003026-0",72.99,45.32,82.95,0,78.75,280.01
"003027-9",0,0,0,0,103.88,103.88
"003028-7",0,1.46,32.2,0,53.32,86.98
"003029-5",0,0,223.09,0,33.84,256.93
"003030-9",0,0,0,0,40.97,40.97
"003031-7",0,17.27,91.16,0,61.73,170.16
"003032-5",0,0,0,0,81.72,81.72
"003033-3",0,0,136.74,0,116.46,253.2
"003034-1",0,205.85,0,0,69.03,274.88
"003035-0",0,0,0,0,44.25,44.25
"003036-8",0,0,0,0,0,0
"003038-4",0,0,0,0,121.56,121.56
"003039-2",0,0,0,0,38.88,38.88
"003040-6",0,0,0,0,84.94,84.94
"003041-4",0,0,0,0,52.86,52.86
"003042-2",0,0,0,0,121.8,121.8
"003043-0",0,0,0,0,0,0
"003044-9",0,0,0,0,110.2,110.2
"003045-7",0,0,0,0,21.8,21.8
"003046-5",216,32.19,49.48,0,81.24,378.91
"003047-3",0,0,0,0,39.59,39.59
"003048-1",263.63,27.14,124.02,0,101.89,516.68
"003049-0",0,0,0,0,2.92,2.92
"003052-0",0,0,0,0,70.79,70.79
"003053-8",0,0,216.04,0,75.24,291.28
"003054-6",0,42.91,93.11,0,36.52,172.54
"003055-4",0,13.27,90.62,0,107.95,211.84
"003056-2",0,122.09,0,0,32.87,154.96
"003057-0",0,0,88.5,0,45.9,134.4
"003058-9",0,13.44,0,0,15.12,28.56
"003059-7",0,0,0,0,37.93,37.93
"003060-0",0,0,241.85,0,49.44,291.29
"003061-9",0,0,0,0,85.04,85.04
"003062-7",0,0,129.44,0,24.51,153.95
"003063-5",0,73.51,133.47,0,36.24,243.22
"003064-3",0,0,0,0,0,0
"003065-1",0,134.31,0,0,64.96,199.27
"003066-0",0,0,0,0,40.27,40.27
"003067-8",0,0,0,120.44,54.95,175.39
"003068-6",286.78,0,0,0,86.37,373.15
"003069-4",0,0,0,0,45.96,45.96
"003070-8",0,0,0,0,42.56,42.56
"003071-6",0,0,48.59,0,61.39,109.98
"003072-4",0,0,104.65,0,115.17,219.82
"003073-2",0,359.71,0,0,85.02,444.73
"003074-0",0,23.56,0,0,39.91,63.47
"003075-9",0,0,206.02,0,50,256.02
"003076-7",0,0,0,0,33.64,33.64
"003077-5",0,0,0,0,25.15,25.15
